9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"MARCHAND, Jean-Henri";"Les délassements champêtres ou mélanges d’un philosophe sérieux à Paris et badin à la campagne";;
"MARCHAND, Jean-Henri";"Mon radotage et celui des autres, recueilli par un invalide retiré du monde pendant son Carnaval";;
"MARCHAND, Jean-Henri";"Le véridique ou mémoires de M. de Fillerville, histoire véritable par un menteur";;
"MARCHAND, Jean-Henri";"Testament histori-morali-politique de monsieur R***, écrit & publié par lui-même";;
"MARCHAND, Jean-Henri";"Hylaire, par un métaphysicien";;
"MARCHANT, François";"Le roman sans titre, histoire véritable ou peu s’en faut, par un philosophe du Palais-Royal";;
"MARCILLY, Laurent";"Zélindor et Zaïre, traduction indienne tirée du célèbre auteur indien, Yn-che-cham, par M***";;
"MARÉCHAL, Pierre-Sylvain";"Voyages de Pythagorc en Egypte, dans la Chaidce, dans l’Inde, en Crète, à Sparte, en Sicile, à Rome, à Carthage, à Marseille et dans les Gaules, suivis de ses lois politiques et morales";;
"MARÉCHAL, Pierre-Sylvain";"Bergeries";;
"MARÉCHAL, Pierre-Sylvain";"L’âge d’or, recueil de contes pastoraux par le berger Sylvain";;
"MARÉCHAL, Pierre-Sylvain";"Apologues modernes à l’usage du Dauphin, premières leçons du fils aîné d’un roi";;
"MARÉCHAL, Pierre-Sylvain";"Contes saugrenus";;
"MARÉCHAL, Pierre-Sylvain";"Mes délassements ou recueil choisi de contes moraux et historiques traduits de différentes langues par mademoiselle M. de Morville";;
"MARESCOT, Michel";"Mahulem, histoire orientale";;
"MARESCOT, Michel";"La brochure à b mode, ornée et enrichie de quelques pensées";;
"MARESCOT, Michel";"La folie de la nuit";;
"MARESCOT, Michel";"Origine des cabriolets, conte allégorique et mechanique, orné de notes";;
"MARESCOT, Michel";"La folie du jour ou la promenade des boulevards";;
"MARIN, le père Michel-Ange";"Le baron Van-Hesden ou la république des incrédules par le P. Michel-Ange Marin de l’ordre des Minimes";;
"MARMONTEL, Jean-François";"Bélisaire, par M. Marmontel de l’Académie françoise";;
"MARMONTEL, Jean-François";"Les Incas ou la destruction de l’empire du Pérou par M. Marmontel, historiographe de France, l’un des quarante de l’Académie françoise";;
"MARMONTEL, Jean-François";"La veillée, suivie du Franc Breton, par M. Marmontel";;
"MARMONTEL, Jean-François";"L’erreur d’un bon père, suivie de Palémon, conte pastoral et des Solitaires de Murcie, conte moral, par M. Marmontel";;
"MARMONTEL, Jean-François";"Nouveaux contes moraux par M. Marmontel de l’Académie française";;
"MARMONTEL, Jean-François";"Les déjeunés du village ou les aventures de l’innocence, par M. Marmontel, pour faire suite à la Veillée du même auteur";;
"MARMONTEL, Jean-François";"L’école de l’amitié, conte moral, par M. Marmontel";;
"MARMONTEL, Jean-François";"Contes moraux par monsieur Marmontel, suivis d’une Apologie du théâtre";;
"MARSHALL, Edmund";"Edmond et Eléonora, par E. Marshall, A.M., traduit de l’anglais par un homme qui aime les mœurs simples";;
"MARSOLLIER DES VIVETIÈRES, Benoît-Joseph";"Contes très mogols, enrichis de notes, avis, avertissemens curieux & instructifs, à l’usage des deux sexes, par un vieillard quelquefois jeune, pour servir de suite ou de commencement à l’histoire des empereurs mogols";;
"MARTEAU, François-Joseph";"Le songe d’Irus ou le bonheur, conte en vers à Jean Jacques Rousseau, suivi de Silvestre, conte en prose, de quelques apologues, etc.";;
"MASSIAS, baron Nicolas";"Le prisonnier en Espagne ou coup d’œil philosophique et sentimental sur les provinces de Catalogne et de Grenade, par N. Massias, officier d’artillerie";;
"MASSON DE PEZAY, Alexandre-Frédéric-Jacques";"Poésies pastorales par monsieur Léonard";;
"MASSON DE PEZAY. Alexandre-Frédéric-Jacques";"Lettres du chevalier d’Origny à son ami Mercourt";;
"MASSON, Charles-François-Philibert";"Elmine ou la fleur qui ne se flétrit jamais";;
"MATHEY DE MASSILLIAN, L.-Ch.-C.";"Histoire de Rose d’Amblainville, ci-devant religieuse à l’ordre de Cîteaux ou les abus du pouvoir maternel";;
"MATON DE LA VARENNE, Pierre-Anne-Louis de";"Camille et Formose, histoire italienne, par P.A.L. Maton (de la Varennc)";;
"MATON DE LA VARENNE, Pierre-Anne-Louis de n";"Valdeuil ou les malheurs d’un habitant de St. Domingue, publiés par P.A.L. Maton (de-la-Varenne)";;
"MATON, Alexis";"Mikou et Mézi, conte moral avec plusieurs pièces fugitives en vers par M. M***";;
"MAUBERT DE GOUVEST, Jean-Henri";"L’école du gentilhomme ou entretiens de feu monsieur le chevalier de B*** avec le comte son neveu sur l’héroïsme et le héros";;
"MAUBERT DE GOUVEST, Jean-Henri";"Lettres iroquoises";;
"MAUBERT DE GOUVEST, Jean-Henri";"L’ami de la fortune ou mémoires du marquis de S. A***";;
"MAUBERT DE GOUVEST, Jean-Henri";"L’illustre païsan ou mémoires et avantures de Daniel Moginié, natif du village de Chezales au canton de Berne, bailliage de Moudon, mort à Agra le 22 de mai 1748, âgé de 39 ans";"Om-rah de la I re classe. Commandant de la seconde garde mogole, grand portier du palais de l’empereur, et Gouverneur de Paln-geâb";"où se trouvent plusieurs particularités, anecdotes des dernières révolutions de la Perse ct de I’Indostan et du règne de Thamas-Kouli-Kan, écrit ct adressé par lui même à son frère François, son légataire."
"MAUCOMBLE, Jean-François-Dieudonné";"Nitophar, anecdote babilonienne pour servir à l’histoire des plaisirs";;
"MAUCOMBLE, Jean-François-Dieudonné";"Histoire de madame d’Emeville, écrite par elle-même";;
"MAUVILLON, Eléazar de";"Le soldat parvenu ou mémoires et avantures de Mr. de Verval, dit Bellerose, par Mr. de M***";;
"MAYDIEU, abbé Jean";"Histoire de la vertueuse Portugaise V. 72.24bis";;
"MAYDIEU, abbé Jean";"L’honnête homme, dédié à Mme la comtesse d’H***, par M. l’abbé Maydieu, chanoine de l’église de Troyes en Champagne";;
"MAYDIEU, abbé Jean";"Les caprices de l’amour et de l’amitié, anecdote angloise, suivie d’une petite anecdote allemande";;
"MAYER, Charles-Joseph de";"Aventures et plaisante éducation du courtois chevalier Charles-le-bon sire d’Armagnac, contenant profitables leçons à jeunes chevaliers & à dames de haut parage, par M. de Mayer";;
"MAYER, Charles-Joseph de";"Asgill ou les désordres des guerres civiles, par M. de Mayer";;
"MAYER, Charles-Joseph de";"Héliogabale et Alexandre Sévère, histoires romaines, précédées d’une explication de quelques antiquités romaines, dédiées à Monsieur frère du Roi, par M. Mayer";;
"MAYER, Charles-Joseph de";"Laure et Felino, Leçons d’amour ou les dix tableaux, Cabestaing, nouvelle édition";;
"MAYER, Charles-Joseph de";"Les anecdotes françoises par M. Mayer";;
"MAYER, Charles-Joseph de";"Romans de monsieur de Mayer";;
"MAYER, Charles-Joseph de";"Lisvart de Grèce, roman de chevalerie ou suite d’Amadis de Gaule, par M. Mayer";;
"MAYER, Charles-Joseph de";"Les amours du chevalier Bayard avec madame de Randan ct autres romans de M. de Mayer";;
"MAYER. Charles-Joseph de";"Geneviève de Cornouailles et le Damoisel sans nom, roman de chevalerie, par M. de Mayer";;
"MAYEUR DE SAINT-PAUL, François-Marie";"Le désœuvré ou l’espion du boulevard du Temple";;
"MEADES, Ann éd. par Thomas HULL et";"Jeannette ou la fervente paysanne, histoire portugaise";;
"MÉHÉGAN, Guilbume-Alexandre, chevalier de";"Pièces fugitives extraites des œuvres meslées de M****";;
"MEHÉGAN, Guillaume-Alexandre, chevalier de";"Lettres d’Aspasie, traduites du grec";;
"MÉHÉGAN, Guillaume-Alexandre, chevalier de";"Histoire de la marquise de Terville";;
"MEISSNER, August Gottlieb";"Bianca Capello, roman dramatique, imité de l’allemand par M. Rauquil-Lieutaud";;
"MEISSNER, August Gottlieb";"Masaniello ou la révolution de Naples, fragment historique traduit de l’allemand de M. Meissner";;
"MEISSNER, August Gottlieb";"Alcibiade, d’après l’original allemand, par un amateur qui désire faire connaître aux Français un génie d’Allemagne";;
"MEISSNER, August Gottlieb";"Histoire de la vie et de la mort de Bianca Capello, noble Vénitienne et grande duchesse de Toscane";;
"MEISSNER, August Gottlieb, Helferich Peter STURZ et et Christian Lebrecht Heyne, dit Anton WALL,";"Nicolas de BONNEVILLE Choix de petits romans imités de l’allemand, suivis de quelques essais de poésies lyriques dédiés à la reine, par N. de Bonneville";;
"MEISSNER, August GotÜieb";"Alcibiade enfant, orné de planches en taille douce";;
"MEISTER, Jacob";"Heinrich Entretiens philosophiques et politiques suivis de Betzi ou l'amour comme il est, roman qui n’en est pas";;
"Mélanges de littérature orientale traduits de différens manu";;;
"Mémoires de M. le marquis de S. Forlaix, recueillis dans les";;;
"MÉNARD, Léon n";"Callisthène ou le modèle de l’amour et de l’amitié, ouvrage mêlé de caractères & de moralités qui apprennent à connoitre le coeur humain & à se conduire dans la vie";;
"MÉNARD, madame";"Les malheurs de la jalousie ou lettres de Murville et d’Eléonore Melcour, par Mme Ménard";;
"MÉNARD, madame";"Les veillées d’une femme sensible, par M^me Ménard";;
"MÉNÉGAULT, A.-P.-F.";"Stéphanor ou les aventures d’un jeune Portugais";;
"MÉNÉGAULT, A.-P.-F.";"Delphina ou le spectre amoureux, histoire véritable tirée de l’espagnol et enrichie de notes curieuses, par A.P.F.M.......de Gentifly";;
"MÉRARD DE SA1NT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame";"Le château noir ou les souffrances de la jeune Ophelle, par Anna d’Or. Mér. St. J., auteur de la Mère coupable";;
"MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame";"Mon journal d’un an ou mémoires de mademoiselle de Roza-delle-Saint-Ophelle, par M.A.J.F.D.M.S.J.N.D.O., suivis de poésies fugitives, d’une anecdote cachemirienne, & d’un conte pastoral";;
"MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame";"Histoire de la baronne d’Alvigny, par Mad. D.M.S.J.N. A.J.F. d’O.";;
"MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame";"Démence de madame de Panor en son nom Rozadelle Saint-Ophèle, suivi d’un conte de fées, d’un fragment d’Antiquès, d’une anecdote villageoise et de quelques couplets, par l’auteur de VHistoire de la baronne d’Alvigny ou la joueuse";;
"MÉRARD DE SAINT-JUST, Anne-Jeanne-Félicité d’Ormoy, madame";"Bergeries et opuscules de Mlle d’Orn.oy l’aînée En Arcadie et se trouve à";;
"MÊRARD DE SAINT-JUST, Simon-Pierre";"Sept et le va à l’as de pique ou le ponte en bonne fortune, anecdote parsemée de contes en vers";;
"MERAY, chevalier de";"La raison du temps ou la folie raisonnée par le baron de Fernuntsberg, Allemand francisé";;
"MERAY, chevalier de";"Les femmes ou lettres du chevalier de K***** au marquis de ***";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavicr";"Rosalie et Gerblois ou l’époux généreux, nouvelle champenoise par M. Mercier, avec des romances mises en musique par M. Pollet";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier";"Ismaël et Christine, nouvelle historique, par C. Mercier de Compiègne, nouvelle édition, augmentée d’un essai sur le bonheur et autres pièces fugitives";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier";"Les soirées de l’automne et les épanchemens de l’amitié, par C.F.X. Mercier";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier";"Les veillées du couvent ou le noviciat d’amour, poème éroti-satyrique par un bâtard de Mirabeau l’aîné";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier";"La sorcière de Verberie, ou Jeanne d’Harvilliers, nouvelle française, suivie d’histoires intéressantes et d’un fragment sur Vénus guerrière, par Mercier de Compiègne";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier";"Tableaux du plaisir et de la volupté, contenant le poème du Plaisir, les Quatre heures de la toilette des dames, l’Asile des Grâces, et autres pièces recueillies par Mercier de Compiègne";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Les nuits d’hiver, variétés philosophiques et sentimentales, contes et nouvelles en prose et en vers, recueillies par Mercier de Compiègne";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Ismaél et Christine, nouvelle africaine, par C.F.X.Mercier, d’après les lettres originales";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Nouvelles galantes et tragiques recueillies et publiées par C. Mercier de Compiègne";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Les nuits de la Conciergerie, rêveries mélancoliques et poésies d’un proscrit, fragmens échappés au vandalisme";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Gérard de Velsen, nouvelle historique en VII. livres, par le C. Mercier de Compiègne";;
"MERCIER DE COMPÏÈGNE, Claude-François-Xavier";"Les matinées du printemps, œuvres diverses, par Mercier de Compiègne, membre du Lycée des arts";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier n";"Nouvelles galantes et tragiques, fragmens pour servir à l’histoire du siècle qui a précédé la révolution, recueillis par C. Mercier de Compiègne, deuxième édition, revue, corrigée et augmentée";;
"MERCIER DE COMPIÈGNE, Claude-François-Xavier n";"Les soirées de l’automne et les épanchements de l’amitié, par C.F.X. Mercier, seconde édition";;
"MERCIER DE COMPIÈGNE, Oaude-François-Xavier";"Les heures de Tivoli et de l’Elysée, choix des plus jolies pièces en prose et en vers recueillis par Mercier";;
"MERCIER, l’abbé";"Extrait d’un manuscrit intitulé: le Livre du très-chevalereux comte d’Artois et de sa femme, fille du comte de Boulogne, par M. l’abbé Mercier, abbé de Saint-Léger de Soissons, tiré de la Bibliothèque des romans, janvier 1783,1er volume";;
"MERCIER, Louis-Sébastien";"Morville L’homme juste à la cour ou les mémoires du C.D.R.";;
"MERCIER, Louis-Sébastien";"Mon bonnet de nuit, par M. Mercier";;
"MERCIER, Louis-Sébastien";"Zambeddin, histoire orientale";;
"MERCIER, Louis-Sébastien";"La sympathie, histoire morale, par M. Mercier";;
"MERCIER, Louis-Sébastien";"Les amours de Cherale, poème en six chants, suivi du Bon génie";;
"MERCIER, Louis-Sébastien";"Fictions morales, par M. Mercier";;
"MERCIER, Louis-Sébastien";"Histoire d’Izerben, poète arabe, traduite de l’arabe par M. Mercier";;
"MERCIER, Louis-Sébastien";"Contes moraux par M. Mercier";;
"MERCIER, Louis-Sébastien";"Songes d’un hermite";;
"MERCIER, Louis-Sébastien";"retrad. par ? n Artamon et Susanne, histoire traduite de l’anglois par t L.S.I.B.V.D.P.";;
"MERCIER, Louis-Sébastien";"Songes philosophiques, par M. Mercier";;
"MERE, Elisabeth Guénard, madame Brossin de";"Irma ou les malheurs d’une jeune orpheline, histoire indienne, avec des romances, publiée par la Ce G“";;
"MÉRÉ, Élisabeth Guénard, madame Brossin de";"Zulmée ou la veuve ingénue, nouvelle traduction de l'italien";;
"MÈRÈ, Elisabeth Guénard, madame Brossin de";"Lise et Valcour ou le Bénédictin, par la C116. G***d";;
"MERTHGHEN,";"Œuvres pastorales de M. Merthghen, traduites de l’allemand par M. le baron de Nausell, suivies des Aulnayes de Voux, idylles françoises par M. le Boux de la Bapaumerie, lieutenant-général du bailliage de Montereau";;
"MEUSN1ER DE QUERLON, Anne-Gabriel";"Les impostures innocentes ou les opuscules de M***";;
"MEUSNIER DE QUERLON, Anne-Gabriel";"Mémoires de monsieur de •** pour servir à l’histoire du dix-septième siècle, publiés pour la première fois";;
"MICHEL (de Saint-Sauveur-le-Vicomte)";"Le triomphe de l’amour ou le serpent caché sous les fleurs";;
"MILCENT, Jean-Baptiste-Gabriel-Marie de";"Azor & Zimeo, conte moral, suivi de Thiamis, conte indien, par M. Milcent";;
"MILLON, Charles";"Charlotte Belmont, par Charles Milon";;
"MILLY, mademoiselle de";"Histoire du cœur, par mademoiselle de Milly";;
"MIMAUT, Jean-François";"Le nouveau Faublas ou les aventures de Florbelle, pour faire suite au Faublas de Louvet, par J.F. Mimault, avec figures et musique";;
"MIRABEAU, Honoré-Gabriel de Riqueti, comte de";"Le rideau levé ou l’éducation de Laure";;
"MIRABEAU, Honoré-Gabriel de Riqueti, comte de";"Recueil de contes";;
"MIRABEAU, Honoré-Gabriel de Riqueti, comte de";"La morale des sens ou l’homme du siècle, extrait des mémoires de M. le chevalier de Barville, rédigés par M. M ... D.M.";;
