9;"Histoire d’Amyntor et de Thérèse, traduite de l’anglois";;
"BENNETT, Agnes Maria";"Agnès de Courci, par madame Bennett, auteur d’Anna ou l’héritière galloise et de Rosa ou la fille mendiante, traduit de de l’anglais sur la deuxième édition, avec 4 gravures";;
"BENNETT, Agnes Maria";"Anna ou l’héritière galloise, traduction de l’anglais de mis- tress Bennett, auteur de Rosa ou la fille mendiante par P.F. Henry, traducteur du Château mystérieux et de plusieurs autres ouvrages";;
"BENNETT, Agnes Maria";"Rosa ou la fille mendiante et scs bienfaiteurs, traduit de l’anglais de mistress Bennett, auteur d’Anna ou l’héritière galloise, par Louise Brayer-St.-Lcon";;
"BENOIST-LAMOTHE, François-Nicolas";"Les veillées du presbytère, suivies de quelques autres opuscules patriotiques et littéraires, par le citoyen Bénoist-Lamothe";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Célianne ou les amans séduits par leurs vertus, par l’auteur i’Elisabeth";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Les erreurs d’une jolie femme ou l’Aspasie françoise";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Elisabeth, roman par madame *♦*";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Journal en forme de lettres mêlé de critiques et d’anecdotes, par Madame B**";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Sophronie ou leçon prétendue d’une mère à sa fille, par madame Benoist";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Lettres sur le désir de plaire, suivies de Ce que c’est que l’occasion, conte moral, par l’auteur des Erreurs d’une jolie femme";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Lettres du colonel Talbert, par madame **, auteur d’Elisabeth";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"L’erreur des désirs par madame Benoist";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Mes principes ou la vertu raisonnée, par madame B***";;
"BENOIST, Françoise-Albine Puzin de La Martinière, madame";"Les doux et paisibles délassemens de l’amour";;
"BENOUVILLE, madame de";"Les pensées errantes, avec quelques lettres d’un Indien par Madame de •••";;
"BÉRENGER, Jean-Pierre";"Les amans républicains ou lettres de Nicias et Cynire";;
"BÉRENGER, Laurent-Pierre";"D’Anacharsis ou lettres d’un troubadour sur cet ouvrage, suivies de deux notices analytiques et de l’Epître de M. de Fontanes à M. l’abbé Barthélemi";;
